4253090,3383932,HOTEL
5224591,7798500,GYM
6021743,8675416,BANK
4378287,5097208,PHARMACY
3068570,1700240,HOTEL
4867535,3911175,GYM
4883024,7901853,HOSPITAL
6773315,1831549,PARK
5085117,2904281,UNIVERSITY
8826895,8578441,GYM
6283846,5839212,GYM
636405,5312758,GYM
9740326,7515020,MUSEUM
7523601,8871943,HOTEL
550016,845184,SUPERMARKET
5922341,2279432,GYM
1852278,8073785,ZOO
8281198,5153766,GYM
4007811,1959061,SUPERMARKET
5019618,3856909,HOSPITAL
159611,8970128,ZOO
2500441,4894032,ATM
368799,8937996,HOTEL
3332491,7608805,HOTEL
4266181,8240203,BANK
6303111,2278727,RESTAURANT
5849136,5250634,SALON
4605157,3030440,HOTEL
3920973,9183874,ATM
7373394,9366858,BANK
3866866,9481180,PARK
6436276,538384,SALON
8208543,948608,SUPERMARKET
7428538,8710268,BANK
1976646,1946019,LIBRARY
4663006,9849559,GYM
9518921,6444161,PHARMACY
9636584,282749,PHARMACY
6205312,2302955,MUSEUM
6214207,3374675,HOTEL
3468838,322280,ATM
2103503,9372180,ZOO
9095112,5620718,ZOO
6576539,908091,ATM
258770,508181,SUPERMARKET
9811574,1111810,PHARMACY
6789782,9388664,PARK
1004476,2939899,GYM
7180081,588124,PHARMACY
8605657,8057068,MUSEUM
3960274,7539760,ATM
9351454,6704702,SUPERMARKET
2908836,2641946,HOTEL
2738806,507885,MUSEUM
6769551,4432511,SCHOOL
8061517,1270016,RESTAURANT
1019217,2847851,GYM
9796204,3647166,UNIVERSITY
2863211,8374673,GYM
6448983,1585238,PARK
2906646,6275199,HOSPITAL
6661573,7326858,HOSPITAL
2784781,9360384,ATM
5775461,2003268,SUPERMARKET
9946003,9982994,SALON
7730013,1798362,PARK
9816386,8619033,BANK
9855853,3170754,RESTAURANT
3440729,814978,BANK
1113571,6015138,BANK
1970237,9023807,SCHOOL
8209419,1265747,RESTAURANT
4098362,6472323,RESTAURANT
2905349,2195183,SUPERMARKET
6008818,1941748,MUSEUM
4090998,7420618,LIBRARY
8795958,5132278,GYM
1324721,9900086,PHARMACY
8937750,6387455,ZOO
7916438,141347,LIBRARY
7895687,161376,SALON
519167,5155138,UNIVERSITY
2699453,9434671,MUSEUM
2343867,1483266,BANK
788306,4305278,MUSEUM
1050930,4755906,HOTEL
3616536,4250566,HOTEL
8990064,9993683,SALON
8009587,5270909,ATM
5326822,625780,LIBRARY
578387,1822073,HOSPITAL
673653,9343622,SUPERMARKET
3149548,3739472,HOTEL
7075404,1133434,GYM
6683920,6211740,GYM
2905044,5474670,HOTEL
1266162,3163810,GYM
982296,7878847,SALON
3186186,4073316,HOSPITAL
867475,5509182,GYM
1080348,1533043,ZOO
4705668,9729806,SALON
9843281,4536013,ATM
3317264,4282024,ZOO
6865095,4700912,PHARMACY
9580088,4424672,SALON
7725730,9539236,GYM
4749722,4132399,SALON
1152769,3243515,SUPERMARKET
5840360,4484236,SCHOOL
1334051,570993,HOTEL
7812254,9726485,SUPERMARKET
6000470,7530788,HOSPITAL
6622733,1617129,HOSPITAL
2706121,8041193,SALON
7917397,2834911,SUPERMARKET
723430,6202909,UNIVERSITY
504939,1791897,SUPERMARKET
9826605,7244518,ZOO
8156441,3541128,RESTAURANT
293101,4322199,SALON
4570310,5961008,HOTEL
7111311,1117760,UNIVERSITY
